store_id,item_id,wm_yr_wk,sell_price
CA_1,HOBBIES_1_001,11549,8.26
CA_1,HOBBIES_1_001,11550,8.26
CA_1,HOBBIES_1_001,11551,8.26
CA_1,HOBBIES_1_001,11552,8.26
CA_1,HOBBIES_1_001,11601,8.26
CA_1,HOBBIES_1_001,11602,8.26
CA_1,HOBBIES_1_001,11603,8.26
CA_1,HOBBIES_1_001,11604,8.26
CA_1,HOBBIES_1_001,11605,8.26
CA_1,HOBBIES_1_001,11606,8.26
CA_1,HOBBIES_1_001,11607,8.26
CA_1,HOBBIES_1_001,11608,8.26
CA_1,HOBBIES_1_001,11609,8.26
CA_1,HOBBIES_1_001,11610,8.26
CA_1,HOBBIES_1_001,11611,8.38
CA_1,HOBBIES_1_001,11612,8.38
CA_1,HOBBIES_1_001,11613,8.38
CA_1,HOBBIES_1_001,11614,8.38
CA_1,HOBBIES_1_001,11615,8.38
CA_1,HOBBIES_1_001,11616,8.38
CA_1,HOBBIES_1_001,11617,8.38
CA_1,HOBBIES_1_001,11618,8.38
CA_1,HOBBIES_1_001,11619,8.38
CA_1,HOBBIES_1_001,11620,8.38
CA_1,HOBBIES_1_001,11621,8.38
CA_1,HOBBIES_2_001,11549,5.47
CA_1,HOBBIES_2_001,11550,5.47
CA_1,HOBBIES_2_001,11551,5.47
CA_1,HOBBIES_2_001,11552,5.47
CA_1,HOBBIES_2_001,11601,5.47
CA_1,HOBBIES_2_001,11602,5.47
CA_1,HOBBIES_2_001,11603,5.47
CA_1,HOBBIES_2_001,11604,5.47
CA_1,HOBBIES_2_001,11605,5.47
CA_1,HOBBIES_2_001,11606,5.47
CA_1,HOBBIES_2_001,11607,5.47
CA_1,HOBBIES_2_001,11608,5.47
CA_1,HOBBIES_2_001,11609,5.47
CA_1,HOBBIES_2_001,11610,5.47
CA_1,HOBBIES_2_001,11611,5.47
CA_1,HOBBIES_2_001,11612,5.47
CA_1,HOBBIES_2_001,11613,5.47
CA_1,HOBBIES_2_001,11614,5.47
CA_1,HOBBIES_2_001,11615,5.47
CA_1,HOBBIES_2_001,11616,5.47
CA_1,HOBBIES_2_001,11617,5.47
CA_1,HOBBIES_2_001,11618,5.47
CA_1,HOBBIES_2_001,11619,5.47
CA_1,HOBBIES_2_001,11620,5.47
CA_1,HOBBIES_2_001,11621,5.47
CA_1,HOUSEHOLD_1_001,11549,5.97
CA_1,HOUSEHOLD_1_001,11550,5.97
CA_1,HOUSEHOLD_1_001,11551,5.97
CA_1,HOUSEHOLD_1_001,11552,5.97
CA_1,HOUSEHOLD_1_001,11601,5.97
CA_1,HOUSEHOLD_1_001,11602,5.97
CA_1,HOUSEHOLD_1_001,11603,5.97
CA_1,HOUSEHOLD_1_001,11604,5.97
CA_1,HOUSEHOLD_1_001,11605,5.97
CA_1,HOUSEHOLD_1_001,11606,5.97
CA_1,HOUSEHOLD_1_001,11607,5.97
CA_1,HOUSEHOLD_1_001,11608,5.97
CA_1,HOUSEHOLD_1_001,11609,5.97
CA_1,HOUSEHOLD_1_001,11610,5.97
CA_1,HOUSEHOLD_1_001,11611,5.97
CA_1,HOUSEHOLD_1_001,11612,5.97
CA_1,HOUSEHOLD_1_001,11613,5.97
CA_1,HOUSEHOLD_1_001,11614,5.97
CA_1,HOUSEHOLD_1_001,11615,5.97
CA_1,HOUSEHOLD_1_001,11616,5.97
CA_1,HOUSEHOLD_1_001,11617,5.97
CA_1,HOUSEHOLD_1_001,11618,5.97
CA_1,HOUSEHOLD_1_001,11619,5.97
CA_1,HOUSEHOLD_1_001,11620,5.97
CA_1,HOUSEHOLD_1_001,11621,5.97
CA_1,HOUSEHOLD_2_001,11549,6.77
CA_1,HOUSEHOLD_2_001,11550,6.77
CA_1,HOUSEHOLD_2_001,11551,6.77
CA_1,HOUSEHOLD_2_001,11552,6.77
CA_1,HOUSEHOLD_2_001,11601,6.77
CA_1,HOUSEHOLD_2_001,11602,6.77
CA_1,HOUSEHOLD_2_001,11603,6.77
CA_1,HOUSEHOLD_2_001,11604,6.77
CA_1,HOUSEHOLD_2_001,11605,6.77
CA_1,HOUSEHOLD_2_001,11606,6.77
CA_1,HOUSEHOLD_2_001,11607,6.77
CA_1,HOUSEHOLD_2_001,11608,6.77
CA_1,HOUSEHOLD_2_001,11609,6.77
CA_1,HOUSEHOLD_2_001,11610,6.77
CA_1,HOUSEHOLD_2_001,11611,6.77
CA_1,HOUSEHOLD_2_001,11612,6.77
CA_1,HOUSEHOLD_2_001,11613,6.77
CA_1,HOUSEHOLD_2_001,11614,6.77
CA_1,HOUSEHOLD_2_001,11615,6.77
CA_1,HOUSEHOLD_2_001,11616,6.77
CA_1,HOUSEHOLD_2_001,11617,6.77
CA_1,HOUSEHOLD_2_001,11618,6.77
CA_1,HOUSEHOLD_2_001,11619,6.77
CA_1,HOUSEHOLD_2_001,11620,6.77
CA_1,HOUSEHOLD_2_001,11621,6.77
CA_1,FOODS_1_001,11549,2.24
CA_1,FOODS_1_001,11550,2.24
CA_1,FOODS_1_001,11551,2.24
CA_1,FOODS_1_001,11552,2.24
CA_1,FOODS_1_001,11601,2.24
