index,ipca_29_84_comp_1,ipca_29_84_comp_2,ipca_29_84_comp_3,ipca_29_84_comp_4,ipca_29_84_comp_5,ipca_29_84_comp_6,ipca_29_84_comp_7,ipca_29_84_comp_8,ipca_29_84_comp_9,ipca_29_84_comp_10,ipca_29_84_comp_11,ipca_29_84_comp_12,ipca_29_84_comp_13,ipca_29_84_comp_14
int64,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16
0,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
1,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
4,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
11,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
12,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
13,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
17,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
18,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
19,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
20,-2e-06,-6.5e-06,6e-07,-5.4e-06,-2.86e-06,-4.4e-06,1.2e-06,5.25e-06,-3.46e-06,-1.3e-06,2e-07,2.8e-06,9e-07,-3.16e-06
