index,ipca_57_84_comp_1,ipca_57_84_comp_2,ipca_57_84_comp_3,ipca_57_84_comp_4,ipca_57_84_comp_5,ipca_57_84_comp_6,ipca_57_84_comp_7,ipca_57_84_comp_8,ipca_57_84_comp_9,ipca_57_84_comp_10,ipca_57_84_comp_11,ipca_57_84_comp_12,ipca_57_84_comp_13,ipca_57_84_comp_14
int64,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16
0,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
1,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
4,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
11,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
12,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
13,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
17,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
18,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
19,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
20,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
21,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
22,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
27,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
28,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
29,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
30,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
33,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
35,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
37,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
45,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
46,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
57,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
59,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
70,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
71,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
73,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
74,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
77,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
78,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
80,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
81,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
82,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
83,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
84,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
86,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
87,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
88,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
89,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
90,-9.5e-07,3.5e-06,-6.6e-07,-2.15e-06,1.67e-06,-2.8e-06,-1.4e-06,3.7e-06,1.8e-06,1.1e-06,-2.3e-06,2.15e-06,-2.5e-06,2.56e-06
