index,ipca_15_84_comp_1,ipca_15_84_comp_2,ipca_15_84_comp_3,ipca_15_84_comp_4,ipca_15_84_comp_5,ipca_15_84_comp_6,ipca_15_84_comp_7,ipca_15_84_comp_8,ipca_15_84_comp_9,ipca_15_84_comp_10,ipca_15_84_comp_11,ipca_15_84_comp_12,ipca_15_84_comp_13,ipca_15_84_comp_14
int64,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16
0,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
1,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
4,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
11,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
12,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
13,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
17,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
18,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
19,1.454e-05,1.5e-06,-3.46e-06,3.9e-06,3.7e-06,2e-07,-2e-06,3.2e-06,2.15e-06,-2.15e-06,-6e-08,3.6e-07,6e-08,-3.4e-06
